File,BRONO-FBG-8-35_SpanReduzido.csv,
Date/Time,21-12-14/07:31,

Center Wavelength,1555,nm
Span Wavelength,30,nm
Start Wavelength,1540,nm
Stop Wavelength,1570,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.467,nm
VBW,100,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,C
Start,1540,nm
Stop,1570,nm
1540.000000,1.7680E-009
1540.060000,1.8380E-009
1540.120000,2.2370E-009
1540.180000,1.1300E-009
1540.240000,1.7420E-009
1540.300000,1.8980E-009
1540.360000,2.1610E-009
1540.420000,2.0580E-009
1540.480000,7.9300E-010
1540.540000,7.2140E-010
1540.600000,5.4130E-010
1540.660000,8.6900E-010
1540.720000,9.9940E-010
1540.780000,2.3060E-009
1540.840000,3.2830E-010
1540.900000,1.4990E-009
1540.960000,1.3530E-009
1541.020000,1.2630E-009
1541.080000,7.3100E-010
1541.140000,1.1250E-009
1541.200000,1.4180E-010
1541.260000,1.0280E-009
1541.320000,1.1010E-009
1541.380000,1.3130E-009
1541.440000,1.9200E-009
1541.500000,6.9700E-010
1541.560000,2.5580E-012
1541.620000,2.4690E-009
1541.680000,1.5150E-009
1541.740000,2.4280E-009
1541.800000,9.4770E-010
1541.860000,1.9170E-009
1541.920000,2.9040E-009
1541.980000,1.0070E-009
1542.040000,1.6690E-009
1542.100000,2.1110E-010
1542.160000,2.3370E-009
1542.220000,1.9430E-009
1542.280000,1.6300E-009
1542.340000,7.3260E-010
1542.400000,1.0200E-009
1542.460000,1.7010E-009
1542.520000,1.8330E-009
1542.580000,1.6230E-009
1542.640000,1.9690E-009
1542.700000,1.7290E-009
1542.760000,1.0580E-009
1542.820000,2.0640E-009
1542.880000,1.0020E-009
1542.940000,2.0600E-011
1543.000000,1.4880E-009
1543.060000,1.6660E-009
1543.120000,2.1470E-009
1543.180000,7.7150E-010
1543.240000,4.0280E-010
1543.300000,3.2930E-009
1543.360000,1.0940E-009
1543.420000,1.5190E-009
1543.480000,2.0070E-009
1543.540000,8.4190E-010
1543.600000,1.9700E-009
1543.660000,1.3620E-009
1543.720000,1.9030E-010
1543.780000,1.1630E-009
1543.840000,9.3710E-010
1543.900000,2.1690E-009
1543.960000,1.3710E-009
1544.020000,1.3070E-009
1544.080000,7.8860E-010
1544.140000,7.7840E-011
1544.200000,2.6420E-009
1544.260000,5.4050E-010
1544.320000,1.6750E-009
1544.380000,2.0140E-009
1544.440000,2.5330E-009
1544.500000,1.6490E-009
1544.560000,1.5660E-009
1544.620000,1.1900E-009
1544.680000,2.0410E-009
1544.740000,2.2390E-009
1544.800000,3.0310E-009
1544.860000,1.9920E-009
1544.920000,9.7810E-010
1544.980000,2.4920E-009
1545.040000,1.0400E-009
1545.100000,6.5450E-010
1545.160000,1.8590E-009
1545.220000,1.5230E-009
1545.280000,2.9540E-010
1545.340000,2.2090E-009
1545.400000,2.0980E-009
1545.460000,1.5930E-009
1545.520000,1.3750E-009
1545.580000,1.7360E-009
1545.640000,1.4290E-009
1545.700000,1.6820E-009
1545.760000,2.3170E-009
1545.820000,1.3520E-009
1545.880000,3.2210E-009
1545.940000,2.4270E-009
1546.000000,2.5180E-009
1546.060000,1.4310E-009
1546.120000,1.3060E-009
1546.180000,3.6060E-009
1546.240000,1.5820E-009
1546.300000,2.2140E-009
1546.360000,3.3220E-009
1546.420000,1.6990E-009
1546.480000,2.3550E-009
1546.540000,1.9880E-009
1546.600000,1.5370E-009
1546.660000,3.7320E-009
1546.720000,2.2170E-009
1546.780000,2.6350E-009
1546.840000,2.0180E-009
1546.900000,3.2040E-009
1546.960000,2.1280E-009
1547.020000,1.2150E-009
1547.080000,2.3500E-009
1547.140000,2.9000E-009
1547.200000,2.3900E-009
1547.260000,1.1990E-009
1547.320000,3.0660E-009
1547.380000,2.0350E-009
1547.440000,4.2310E-009
1547.500000,3.9200E-009
1547.560000,1.3360E-009
1547.620000,2.7980E-009
1547.680000,2.4250E-009
1547.740000,3.5310E-009
1547.800000,2.3950E-009
1547.860000,2.9150E-009
1547.920000,1.9230E-009
1547.980000,2.6890E-009
1548.040000,2.3860E-009
1548.100000,3.2930E-009
1548.160000,1.7850E-009
1548.220000,1.0020E-009
1548.280000,3.6390E-009
1548.340000,2.4960E-009
1548.400000,1.5730E-009
1548.460000,3.6800E-009
1548.520000,3.4270E-009
1548.580000,1.6160E-009
1548.640000,2.8550E-009
1548.700000,2.0460E-009
1548.760000,3.2720E-009
1548.820000,1.7170E-009
1548.880000,3.2240E-009
1548.940000,2.7340E-009
1549.000000,1.9440E-009
1549.060000,3.0630E-009
1549.120000,4.1970E-009
1549.180000,2.2700E-009
1549.240000,3.1720E-009
1549.300000,4.3600E-009
1549.360000,3.3900E-009
1549.420000,2.5590E-009
1549.480000,2.5610E-009
1549.540000,3.4850E-009
1549.600000,2.5140E-009
1549.660000,4.1780E-009
1549.720000,4.8830E-009
1549.780000,4.4150E-009
1549.840000,3.1350E-009
1549.900000,3.2290E-009
1549.960000,2.2650E-009
1550.020000,2.9030E-009
1550.080000,2.8300E-009
1550.140000,3.0070E-009
1550.200000,4.3740E-009
1550.260000,2.1340E-009
1550.320000,2.6710E-009
1550.380000,2.3440E-009
1550.440000,4.6600E-009
1550.500000,2.9740E-009
1550.560000,2.4320E-009
1550.620000,3.1600E-009
1550.680000,2.4180E-009
1550.740000,3.2710E-009
1550.800000,2.1410E-009
1550.860000,3.6360E-009
1550.920000,4.7910E-009
1550.980000,4.4240E-009
1551.040000,3.2130E-009
1551.100000,4.4310E-009
1551.160000,3.4180E-009
1551.220000,3.6130E-009
1551.280000,2.3910E-009
1551.340000,3.5470E-009
1551.400000,3.2280E-009
1551.460000,2.6990E-009
1551.520000,2.6620E-009
1551.580000,3.3840E-009
1551.640000,4.3720E-009
1551.700000,5.0150E-009
1551.760000,4.0960E-009
1551.820000,3.6030E-009
1551.880000,3.6570E-009
1551.940000,3.7400E-009
1552.000000,2.0640E-009
1552.060000,3.1790E-009
1552.120000,2.3000E-009
1552.180000,3.3240E-009
1552.240000,4.0920E-009
1552.300000,4.3620E-009
1552.360000,4.0610E-009
1552.420000,4.3840E-009
1552.480000,5.2300E-009
1552.540000,3.9000E-009
1552.600000,3.4690E-009
1552.660000,5.1520E-009
1552.720000,5.3350E-009
1552.780000,6.0420E-009
1552.840000,4.0150E-009
1552.900000,5.8970E-009
1552.960000,5.0330E-009
1553.020000,5.1580E-009
1553.080000,5.0480E-009
1553.140000,5.6020E-009
1553.200000,5.5040E-009
1553.260000,6.1780E-009
1553.320000,5.1250E-009
1553.380000,5.2470E-009
1553.440000,5.7850E-009
1553.500000,6.5020E-009
1553.560000,7.4550E-009
1553.620000,6.9960E-009
1553.680000,7.3050E-009
1553.740000,7.9320E-009
1553.800000,9.8140E-009
1553.860000,9.0110E-009
1553.920000,1.0930E-008
1553.980000,8.2490E-009
1554.040000,9.8180E-009
1554.100000,8.7630E-009
1554.160000,9.6940E-009
1554.220000,7.3360E-009
1554.280000,5.8510E-009
1554.340000,6.3920E-009
1554.400000,5.9970E-009
1554.460000,5.4870E-009
1554.520000,5.0400E-009
1554.580000,5.8580E-009
1554.640000,6.1270E-009
1554.700000,4.9240E-009
1554.760000,4.6920E-009
1554.820000,7.1830E-009
1554.880000,8.0280E-009
1554.940000,1.1520E-008
1555.000000,1.6690E-008
1555.060000,2.1650E-008
1555.120000,2.0490E-008
1555.180000,1.9570E-008
1555.240000,2.3630E-008
1555.300000,2.6340E-008
1555.360000,3.0640E-008
1555.420000,3.8730E-008
1555.480000,4.7280E-008
1555.540000,5.8210E-008
1555.600000,7.3500E-008
1555.660000,8.6040E-008
1555.720000,9.5850E-008
1555.780000,9.9600E-008
1555.840000,9.7390E-008
1555.900000,8.7950E-008
1555.960000,8.0840E-008
1556.020000,6.6920E-008
1556.080000,5.6450E-008
1556.140000,4.9270E-008
1556.200000,4.6510E-008
1556.260000,4.4090E-008
1556.320000,4.5900E-008
1556.380000,5.7100E-008
1556.440000,6.8550E-008
1556.500000,7.8310E-008
1556.560000,9.1610E-008
1556.620000,1.0110E-007
1556.680000,1.0580E-007
1556.740000,1.0970E-007
1556.800000,1.0840E-007
1556.860000,1.0240E-007
1556.920000,8.8670E-008
1556.980000,8.2080E-008
1557.040000,6.6730E-008
1557.100000,5.4510E-008
1557.160000,4.2310E-008
1557.220000,3.0290E-008
1557.280000,2.3120E-008
1557.340000,2.2090E-008
1557.400000,2.1010E-008
1557.460000,2.7450E-008
1557.520000,3.7390E-008
1557.580000,5.8950E-008
1557.640000,7.8460E-008
1557.700000,1.0780E-007
1557.760000,1.5550E-007
1557.820000,2.0460E-007
1557.880000,2.4480E-007
1557.940000,2.7890E-007
1558.000000,2.8450E-007
1558.060000,2.7140E-007
1558.120000,2.5510E-007
1558.180000,2.1810E-007
1558.240000,1.8790E-007
1558.300000,1.7850E-007
1558.360000,1.8910E-007
1558.420000,2.4720E-007
1558.480000,3.3480E-007
1558.540000,4.7090E-007
1558.600000,6.1250E-007
1558.660000,7.4610E-007
1558.720000,8.6510E-007
1558.780000,9.5240E-007
1558.840000,9.6750E-007
1558.900000,9.4130E-007
1558.960000,8.6290E-007
1559.020000,7.2530E-007
1559.080000,5.8810E-007
1559.140000,4.4950E-007
1559.200000,3.3380E-007
1559.260000,2.6700E-007
1559.320000,2.6770E-007
1559.380000,3.4880E-007
1559.440000,5.1130E-007
1559.500000,7.5450E-007
1559.560000,1.0600E-006
1559.620000,1.4110E-006
1559.680000,1.7840E-006
1559.740000,2.1860E-006
1559.800000,2.5370E-006
1559.860000,2.8410E-006
1559.920000,3.0850E-006
1559.980000,3.2510E-006
1560.040000,3.3370E-006
1560.100000,3.3440E-006
1560.160000,3.2620E-006
1560.220000,3.1050E-006
1560.280000,2.8890E-006
1560.340000,2.6330E-006
1560.400000,2.3340E-006
1560.460000,2.0190E-006
1560.520000,1.7010E-006
1560.580000,1.3930E-006
1560.640000,1.1210E-006
1560.700000,8.5390E-007
1560.760000,6.3000E-007
1560.820000,4.4860E-007
1560.880000,3.1080E-007
1560.940000,2.1660E-007
1561.000000,1.6690E-007
1561.060000,1.5930E-007
1561.120000,1.8610E-007
1561.180000,2.3130E-007
1561.240000,2.8720E-007
1561.300000,3.3290E-007
1561.360000,3.6520E-007
1561.420000,3.7720E-007
1561.480000,3.6680E-007
1561.540000,3.4370E-007
1561.600000,3.0390E-007
1561.660000,2.5180E-007
1561.720000,2.0550E-007
1561.780000,1.5890E-007
1561.840000,1.2240E-007
1561.900000,9.1370E-008
1561.960000,7.0860E-008
1562.020000,5.8650E-008
1562.080000,5.6970E-008
1562.140000,5.7570E-008
1562.200000,6.3830E-008
1562.260000,7.2700E-008
1562.320000,7.9900E-008
1562.380000,8.6780E-008
1562.440000,8.9180E-008
1562.500000,9.1040E-008
1562.560000,8.9140E-008
1562.620000,8.0980E-008
1562.680000,7.1970E-008
1562.740000,6.5220E-008
1562.800000,5.4270E-008
1562.860000,4.3890E-008
1562.920000,3.2840E-008
1562.980000,2.5750E-008
1563.040000,1.6940E-008
1563.100000,1.5220E-008
1563.160000,1.3270E-008
1563.220000,1.1320E-008
1563.280000,1.2450E-008
1563.340000,1.4730E-008
1563.400000,1.6070E-008
1563.460000,1.8190E-008
1563.520000,2.0970E-008
1563.580000,2.2740E-008
1563.640000,2.3980E-008
1563.700000,2.2100E-008
1563.760000,2.2530E-008
1563.820000,1.9530E-008
1563.880000,2.0030E-008
1563.940000,1.8180E-008
1564.000000,1.4880E-008
1564.060000,1.5380E-008
1564.120000,1.2040E-008
1564.180000,1.1400E-008
1564.240000,9.9700E-009
1564.300000,9.5120E-009
1564.360000,9.9010E-009
1564.420000,8.2220E-009
1564.480000,9.2460E-009
1564.540000,9.4940E-009
1564.600000,1.1430E-008
1564.660000,1.0260E-008
1564.720000,1.0910E-008
1564.780000,1.1040E-008
1564.840000,1.1410E-008
1564.900000,1.0800E-008
1564.960000,1.1420E-008
1565.020000,1.1040E-008
1565.080000,1.0550E-008
1565.140000,1.1600E-008
1565.200000,9.8500E-009
1565.260000,1.0010E-008
1565.320000,1.1380E-008
1565.380000,1.0960E-008
1565.440000,1.0570E-008
1565.500000,1.1580E-008
1565.560000,1.0440E-008
1565.620000,1.1580E-008
1565.680000,1.0670E-008
1565.740000,1.0630E-008
1565.800000,1.1520E-008
1565.860000,1.0740E-008
1565.920000,1.0990E-008
1565.980000,1.1360E-008
1566.040000,1.1150E-008
1566.100000,1.0220E-008
1566.160000,9.5950E-009
1566.220000,8.2410E-009
1566.280000,8.9610E-009
1566.340000,9.7620E-009
1566.400000,1.0900E-008
1566.460000,9.3810E-009
1566.520000,1.0280E-008
1566.580000,1.0900E-008
1566.640000,1.1680E-008
1566.700000,1.0600E-008
1566.760000,1.1230E-008
1566.820000,1.2200E-008
1566.880000,1.2710E-008
1566.940000,1.3380E-008
1567.000000,1.2450E-008
1567.060000,1.4560E-008
1567.120000,1.3300E-008
1567.180000,1.2080E-008
1567.240000,1.3070E-008
1567.300000,1.3930E-008
1567.360000,1.4030E-008
1567.420000,1.3200E-008
1567.480000,1.2060E-008
1567.540000,1.3600E-008
1567.600000,1.1890E-008
1567.660000,1.2480E-008
1567.720000,1.3240E-008
1567.780000,1.2290E-008
1567.840000,1.1400E-008
1567.900000,1.2770E-008
1567.960000,1.0040E-008
1568.020000,1.1300E-008
1568.080000,1.0730E-008
1568.140000,1.2080E-008
1568.200000,1.1080E-008
1568.260000,1.2490E-008
1568.320000,1.3520E-008
1568.380000,1.2200E-008
1568.440000,1.0960E-008
1568.500000,1.1850E-008
1568.560000,1.1960E-008
1568.620000,1.2860E-008
1568.680000,1.0240E-008
1568.740000,1.1150E-008
1568.800000,1.0780E-008
1568.860000,1.1180E-008
1568.920000,1.0290E-008
1568.980000,1.0620E-008
1569.040000,9.3110E-009
1569.100000,1.0890E-008
1569.160000,1.2120E-008
1569.220000,9.8130E-009
1569.280000,1.1590E-008
1569.340000,1.0920E-008
1569.400000,1.1510E-008
1569.460000,1.2930E-008
1569.520000,1.1530E-008
1569.580000,1.1370E-008
1569.640000,1.1610E-008
1569.700000,1.1180E-008
1569.760000,1.3390E-008
1569.820000,1.2350E-008
1569.880000,1.2200E-008
1569.940000,1.1610E-008
1570.000000,1.1590E-008
