File,BRONO-FBG-8-75_SpanReduzido.csv,
Date/Time,21-12-14/07:21,

Center Wavelength,1555,nm
Span Wavelength,30,nm
Start Wavelength,1540,nm
Stop Wavelength,1570,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.467,nm
VBW,100,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,C
Start,1540,nm
Stop,1570,nm
1540.000000,1.1650E-009
1540.060000,6.7550E-010
1540.120000,6.6400E-010
1540.180000,1.3010E-009
1540.240000,-4.3930E-010
1540.300000,8.1990E-010
1540.360000,1.7250E-009
1540.420000,1.0790E-009
1540.480000,1.7730E-009
1540.540000,1.2730E-009
1540.600000,1.0710E-009
1540.660000,1.2920E-009
1540.720000,8.7030E-010
1540.780000,1.6060E-009
1540.840000,7.5790E-010
1540.900000,9.1890E-010
1540.960000,1.6590E-009
1541.020000,2.0250E-009
1541.080000,2.0650E-009
1541.140000,2.4170E-009
1541.200000,5.1120E-010
1541.260000,5.1290E-010
1541.320000,-1.0360E-010
1541.380000,1.7480E-009
1541.440000,2.7680E-009
1541.500000,6.9330E-010
1541.560000,9.9130E-010
1541.620000,9.0690E-010
1541.680000,2.4290E-009
1541.740000,1.0850E-009
1541.800000,1.4080E-009
1541.860000,5.7340E-010
1541.920000,1.2050E-009
1541.980000,1.9460E-009
1542.040000,1.3320E-009
1542.100000,1.9210E-009
1542.160000,1.9780E-009
1542.220000,7.7750E-010
1542.280000,2.0960E-009
1542.340000,6.2740E-010
1542.400000,1.1830E-009
1542.460000,1.1590E-009
1542.520000,1.7660E-009
1542.580000,8.3140E-010
1542.640000,1.7480E-009
1542.700000,1.9960E-009
1542.760000,1.4400E-009
1542.820000,1.9760E-009
1542.880000,2.2660E-009
1542.940000,1.5120E-009
1543.000000,2.4190E-009
1543.060000,3.9180E-010
1543.120000,8.6570E-010
1543.180000,2.3350E-009
1543.240000,5.9390E-011
1543.300000,1.7820E-009
1543.360000,1.7980E-009
1543.420000,1.2120E-009
1543.480000,2.2180E-009
1543.540000,6.0250E-010
1543.600000,1.0960E-009
1543.660000,2.0600E-009
1543.720000,2.1000E-009
1543.780000,1.8710E-009
1543.840000,6.0010E-010
1543.900000,4.2890E-009
1543.960000,1.8990E-009
1544.020000,1.1410E-009
1544.080000,1.4010E-009
1544.140000,2.3340E-009
1544.200000,2.7020E-009
1544.260000,1.0090E-009
1544.320000,2.2040E-009
1544.380000,1.9750E-009
1544.440000,1.3270E-009
1544.500000,1.9360E-009
1544.560000,3.2470E-009
1544.620000,4.1790E-010
1544.680000,1.9140E-010
1544.740000,1.3380E-009
1544.800000,1.5560E-009
1544.860000,2.2330E-009
1544.920000,2.1950E-009
1544.980000,2.6250E-009
1545.040000,1.3290E-009
1545.100000,2.2400E-009
1545.160000,1.2650E-009
1545.220000,2.4850E-009
1545.280000,2.9220E-009
1545.340000,2.9870E-009
1545.400000,1.9020E-009
1545.460000,1.3750E-009
1545.520000,2.9980E-009
1545.580000,1.4880E-009
1545.640000,1.7980E-009
1545.700000,2.7260E-009
1545.760000,2.1080E-009
1545.820000,3.2340E-009
1545.880000,2.3630E-009
1545.940000,2.0880E-009
1546.000000,1.7750E-009
1546.060000,2.3040E-009
1546.120000,1.8730E-009
1546.180000,3.0410E-009
1546.240000,9.5760E-010
1546.300000,2.3980E-009
1546.360000,2.9250E-009
1546.420000,3.2040E-009
1546.480000,1.2930E-009
1546.540000,1.3620E-009
1546.600000,2.7180E-009
1546.660000,1.5880E-009
1546.720000,2.2600E-009
1546.780000,2.4540E-009
1546.840000,3.3500E-009
1546.900000,2.4380E-009
1546.960000,2.9330E-009
1547.020000,1.9580E-009
1547.080000,1.6980E-009
1547.140000,1.6670E-009
1547.200000,1.5820E-009
1547.260000,2.7150E-009
1547.320000,1.8160E-009
1547.380000,2.0120E-009
1547.440000,2.2690E-009
1547.500000,2.7640E-009
1547.560000,1.1280E-009
1547.620000,3.6810E-009
1547.680000,2.7220E-009
1547.740000,3.0480E-009
1547.800000,2.1140E-009
1547.860000,3.2860E-009
1547.920000,3.5920E-009
1547.980000,2.5930E-009
1548.040000,2.9140E-009
1548.100000,2.9560E-009
1548.160000,2.8350E-009
1548.220000,1.9800E-009
1548.280000,3.7180E-009
1548.340000,2.6960E-009
1548.400000,2.2530E-009
1548.460000,3.8600E-009
1548.520000,3.4010E-009
1548.580000,3.6380E-009
1548.640000,2.1320E-009
1548.700000,2.6140E-009
1548.760000,2.2980E-009
1548.820000,2.4110E-009
1548.880000,2.5970E-009
1548.940000,3.4930E-009
1549.000000,3.5430E-009
1549.060000,4.0720E-009
1549.120000,2.3370E-009
1549.180000,3.3650E-009
1549.240000,2.3470E-009
1549.300000,3.9790E-009
1549.360000,2.6350E-009
1549.420000,3.4180E-009
1549.480000,3.0300E-009
1549.540000,1.9170E-009
1549.600000,2.4810E-009
1549.660000,3.6210E-009
1549.720000,3.4470E-009
1549.780000,3.7450E-009
1549.840000,3.5500E-009
1549.900000,3.1630E-009
1549.960000,3.5880E-009
1550.020000,4.2440E-009
1550.080000,4.4690E-009
1550.140000,3.9390E-009
1550.200000,3.7580E-009
1550.260000,4.6280E-009
1550.320000,3.9350E-009
1550.380000,4.1080E-009
1550.440000,5.3080E-009
1550.500000,6.4940E-009
1550.560000,6.2960E-009
1550.620000,5.6150E-009
1550.680000,7.9910E-009
1550.740000,6.2040E-009
1550.800000,6.0390E-009
1550.860000,7.8210E-009
1550.920000,6.9840E-009
1550.980000,6.7620E-009
1551.040000,5.7650E-009
1551.100000,7.9060E-009
1551.160000,6.1140E-009
1551.220000,7.1370E-009
1551.280000,5.4280E-009
1551.340000,4.7610E-009
1551.400000,4.2220E-009
1551.460000,4.6650E-009
1551.520000,3.3060E-009
1551.580000,3.5300E-009
1551.640000,4.3020E-009
1551.700000,5.5520E-009
1551.760000,7.6970E-009
1551.820000,1.0850E-008
1551.880000,1.2080E-008
1551.940000,1.4800E-008
1552.000000,1.5990E-008
1552.060000,1.6870E-008
1552.120000,1.5960E-008
1552.180000,2.0730E-008
1552.240000,2.7690E-008
1552.300000,3.2040E-008
1552.360000,4.0510E-008
1552.420000,5.1970E-008
1552.480000,6.0460E-008
1552.540000,7.1450E-008
1552.600000,7.8580E-008
1552.660000,7.9360E-008
1552.720000,7.2910E-008
1552.780000,6.4030E-008
1552.840000,5.7220E-008
1552.900000,4.7450E-008
1552.960000,3.9860E-008
1553.020000,3.5210E-008
1553.080000,3.5030E-008
1553.140000,3.6050E-008
1553.200000,4.2920E-008
1553.260000,5.1190E-008
1553.320000,5.9370E-008
1553.380000,7.0260E-008
1553.440000,7.7090E-008
1553.500000,8.1990E-008
1553.560000,8.4330E-008
1553.620000,8.6750E-008
1553.680000,8.0990E-008
1553.740000,7.6080E-008
1553.800000,6.4760E-008
1553.860000,5.6040E-008
1553.920000,4.4210E-008
1553.980000,3.5110E-008
1554.040000,2.8960E-008
1554.100000,2.3390E-008
1554.160000,1.7800E-008
1554.220000,1.7290E-008
1554.280000,1.9340E-008
1554.340000,2.6640E-008
1554.400000,3.8980E-008
1554.460000,5.8440E-008
1554.520000,7.1300E-008
1554.580000,1.0560E-007
1554.640000,1.4030E-007
1554.700000,1.6610E-007
1554.760000,2.0840E-007
1554.820000,2.1820E-007
1554.880000,2.0890E-007
1554.940000,1.9880E-007
1555.000000,1.8070E-007
1555.060000,1.5130E-007
1555.120000,1.3600E-007
1555.180000,1.4780E-007
1555.240000,1.7960E-007
1555.300000,2.4290E-007
1555.360000,3.3750E-007
1555.420000,4.5670E-007
1555.480000,5.6490E-007
1555.540000,6.6190E-007
1555.600000,7.4340E-007
1555.660000,7.7250E-007
1555.720000,7.5990E-007
1555.780000,7.1400E-007
1555.840000,6.1940E-007
1555.900000,5.0350E-007
1555.960000,3.9320E-007
1556.020000,2.9160E-007
1556.080000,2.2570E-007
1556.140000,2.0770E-007
1556.200000,2.5570E-007
1556.260000,3.6660E-007
1556.320000,5.4900E-007
1556.380000,7.8600E-007
1556.440000,1.0690E-006
1556.500000,1.3650E-006
1556.560000,1.6720E-006
1556.620000,1.9740E-006
1556.680000,2.2260E-006
1556.740000,2.4330E-006
1556.800000,2.5770E-006
1556.860000,2.6580E-006
1556.920000,2.6770E-006
1556.980000,2.6210E-006
1557.040000,2.5060E-006
1557.100000,2.3340E-006
1557.160000,2.1210E-006
1557.220000,1.8920E-006
1557.280000,1.6370E-006
1557.340000,1.3820E-006
1557.400000,1.1540E-006
1557.460000,9.1370E-007
1557.520000,6.9470E-007
1557.580000,5.1920E-007
1557.640000,3.6600E-007
1557.700000,2.5090E-007
1557.760000,1.7950E-007
1557.820000,1.3790E-007
1557.880000,1.2950E-007
1557.940000,1.4960E-007
1558.000000,1.8750E-007
1558.060000,2.3020E-007
1558.120000,2.7320E-007
1558.180000,3.0080E-007
1558.240000,3.1610E-007
1558.300000,3.1060E-007
1558.360000,2.9180E-007
1558.420000,2.5870E-007
1558.480000,2.2030E-007
1558.540000,1.8050E-007
1558.600000,1.3920E-007
1558.660000,1.0620E-007
1558.720000,8.0530E-008
1558.780000,6.1140E-008
1558.840000,4.9080E-008
1558.900000,4.8370E-008
1558.960000,4.6100E-008
1559.020000,5.2500E-008
1559.080000,5.9700E-008
1559.140000,6.5710E-008
1559.200000,7.2410E-008
1559.260000,7.4660E-008
1559.320000,7.3350E-008
1559.380000,7.4940E-008
1559.440000,6.9510E-008
1559.500000,6.3200E-008
1559.560000,5.3480E-008
1559.620000,4.7210E-008
1559.680000,3.7000E-008
1559.740000,2.9480E-008
1559.800000,1.8530E-008
1559.860000,1.4990E-008
1559.920000,1.3530E-008
1559.980000,1.0930E-008
1560.040000,1.1190E-008
1560.100000,1.1440E-008
1560.160000,1.2140E-008
1560.220000,1.3550E-008
1560.280000,1.5180E-008
1560.340000,1.6430E-008
1560.400000,1.7970E-008
1560.460000,2.0410E-008
1560.520000,1.8590E-008
1560.580000,1.6280E-008
1560.640000,2.0550E-008
1560.700000,1.6890E-008
1560.760000,1.4560E-008
1560.820000,1.3210E-008
1560.880000,1.1400E-008
1560.940000,1.0090E-008
1561.000000,8.7510E-009
1561.060000,7.8770E-009
1561.120000,8.2360E-009
1561.180000,7.3900E-009
1561.240000,8.4400E-009
1561.300000,8.4760E-009
1561.360000,8.0850E-009
1561.420000,8.7970E-009
1561.480000,8.9680E-009
1561.540000,8.8380E-009
1561.600000,7.8280E-009
1561.660000,8.0360E-009
1561.720000,1.1330E-008
1561.780000,9.2860E-009
1561.840000,9.8110E-009
1561.900000,7.9340E-009
1561.960000,9.9120E-009
1562.020000,1.0080E-008
1562.080000,7.3060E-009
1562.140000,1.0780E-008
1562.200000,1.0640E-008
1562.260000,8.3020E-009
1562.320000,8.1740E-009
1562.380000,1.0660E-008
1562.440000,9.0160E-009
1562.500000,1.0200E-008
1562.560000,9.0640E-009
1562.620000,9.3230E-009
1562.680000,9.5110E-009
1562.740000,9.8440E-009
1562.800000,9.9900E-009
1562.860000,9.6280E-009
1562.920000,9.5550E-009
1562.980000,8.9970E-009
1563.040000,9.5770E-009
1563.100000,7.5380E-009
1563.160000,7.6200E-009
1563.220000,8.2580E-009
1563.280000,8.1520E-009
1563.340000,9.0150E-009
1563.400000,8.9580E-009
1563.460000,8.9950E-009
1563.520000,8.9140E-009
1563.580000,8.8290E-009
1563.640000,1.1040E-008
1563.700000,9.4050E-009
1563.760000,1.1480E-008
1563.820000,9.0530E-009
1563.880000,1.0520E-008
1563.940000,1.0950E-008
1564.000000,1.0770E-008
1564.060000,1.1230E-008
1564.120000,8.7350E-009
1564.180000,9.8720E-009
1564.240000,9.2580E-009
1564.300000,1.0590E-008
1564.360000,9.6030E-009
1564.420000,1.0140E-008
1564.480000,8.5820E-009
1564.540000,9.6700E-009
1564.600000,8.0590E-009
1564.660000,1.0800E-008
1564.720000,9.1490E-009
1564.780000,9.3150E-009
1564.840000,8.8130E-009
1564.900000,9.9880E-009
1564.960000,8.5760E-009
1565.020000,9.8550E-009
1565.080000,1.0100E-008
1565.140000,9.3930E-009
1565.200000,9.8090E-009
1565.260000,8.6600E-009
1565.320000,8.9450E-009
1565.380000,9.0300E-009
1565.440000,9.1700E-009
1565.500000,1.0520E-008
1565.560000,8.9000E-009
1565.620000,8.7070E-009
1565.680000,9.4540E-009
1565.740000,8.8910E-009
1565.800000,8.7520E-009
1565.860000,1.0160E-008
1565.920000,1.0260E-008
1565.980000,1.0240E-008
1566.040000,9.7540E-009
1566.100000,9.7110E-009
1566.160000,8.6770E-009
1566.220000,9.2550E-009
1566.280000,1.0950E-008
1566.340000,9.8180E-009
1566.400000,1.0280E-008
1566.460000,9.0040E-009
1566.520000,1.0490E-008
1566.580000,1.1160E-008
1566.640000,9.5960E-009
1566.700000,1.0820E-008
1566.760000,9.9360E-009
1566.820000,1.0950E-008
1566.880000,1.1300E-008
1566.940000,1.0620E-008
1567.000000,9.9300E-009
1567.060000,1.1630E-008
1567.120000,1.0470E-008
1567.180000,1.0540E-008
1567.240000,1.1290E-008
1567.300000,1.1210E-008
1567.360000,1.1250E-008
1567.420000,1.0460E-008
1567.480000,1.0910E-008
1567.540000,1.2690E-008
1567.600000,1.2150E-008
1567.660000,1.3120E-008
1567.720000,1.1870E-008
1567.780000,1.2900E-008
1567.840000,1.3070E-008
1567.900000,1.2770E-008
1567.960000,1.1620E-008
1568.020000,1.2590E-008
1568.080000,1.3190E-008
1568.140000,1.2560E-008
1568.200000,1.1650E-008
1568.260000,1.3260E-008
1568.320000,1.1010E-008
1568.380000,1.2000E-008
1568.440000,1.2340E-008
1568.500000,1.1560E-008
1568.560000,1.0880E-008
1568.620000,1.1550E-008
1568.680000,1.3000E-008
1568.740000,1.0450E-008
1568.800000,1.0850E-008
1568.860000,1.0810E-008
1568.920000,1.0130E-008
1568.980000,1.1500E-008
1569.040000,1.1970E-008
1569.100000,1.1410E-008
1569.160000,1.2450E-008
1569.220000,1.0920E-008
1569.280000,1.3370E-008
1569.340000,1.1880E-008
1569.400000,1.1920E-008
1569.460000,1.0250E-008
1569.520000,1.1970E-008
1569.580000,1.0210E-008
1569.640000,1.0770E-008
1569.700000,1.0690E-008
1569.760000,1.1630E-008
1569.820000,1.0760E-008
1569.880000,1.0740E-008
1569.940000,1.2590E-008
1570.000000,1.2620E-008
