File,BRONO-FBG-9-15_SpanReduzido.csv,
Date/Time,21-12-14/07:09,

Center Wavelength,1555,nm
Span Wavelength,30,nm
Start Wavelength,1540,nm
Stop Wavelength,1570,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.467,nm
VBW,100,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,C
Start,1540,nm
Stop,1570,nm
1540.000000,9.1940E-010
1540.060000,5.1710E-010
1540.120000,2.1490E-009
1540.180000,2.5630E-009
1540.240000,1.3740E-009
1540.300000,-2.7060E-010
1540.360000,9.8710E-010
1540.420000,6.5760E-010
1540.480000,1.1550E-009
1540.540000,7.1390E-010
1540.600000,2.3190E-009
1540.660000,1.7270E-009
1540.720000,5.8520E-010
1540.780000,1.4910E-009
1540.840000,6.5430E-010
1540.900000,8.0640E-010
1540.960000,6.8500E-010
1541.020000,5.5330E-010
1541.080000,1.8190E-009
1541.140000,1.1970E-009
1541.200000,8.3580E-010
1541.260000,1.7680E-009
1541.320000,2.2130E-009
1541.380000,1.5670E-009
1541.440000,1.0980E-009
1541.500000,5.0770E-010
1541.560000,1.2190E-009
1541.620000,1.5370E-009
1541.680000,1.6280E-009
1541.740000,2.1520E-009
1541.800000,2.2940E-009
1541.860000,1.2420E-009
1541.920000,9.7670E-010
1541.980000,2.1120E-009
1542.040000,2.0120E-009
1542.100000,2.0980E-009
1542.160000,1.1040E-009
1542.220000,1.7350E-009
1542.280000,2.0900E-009
1542.340000,7.6590E-010
1542.400000,1.2540E-009
1542.460000,2.4690E-009
1542.520000,1.8700E-009
1542.580000,1.5930E-009
1542.640000,5.7690E-010
1542.700000,2.5300E-009
1542.760000,8.6550E-010
1542.820000,3.2690E-010
1542.880000,3.0150E-009
1542.940000,5.9510E-010
1543.000000,7.3170E-010
1543.060000,1.6200E-009
1543.120000,9.1080E-010
1543.180000,2.5180E-009
1543.240000,9.5670E-010
1543.300000,1.0720E-009
1543.360000,2.0030E-009
1543.420000,2.3470E-009
1543.480000,1.8300E-009
1543.540000,3.0780E-009
1543.600000,1.4960E-009
1543.660000,1.3670E-009
1543.720000,1.4100E-009
1543.780000,2.6670E-009
1543.840000,2.6400E-009
1543.900000,1.5850E-009
1543.960000,1.7510E-009
1544.020000,2.0220E-009
1544.080000,1.5730E-009
1544.140000,1.7460E-009
1544.200000,2.2500E-009
1544.260000,1.1470E-009
1544.320000,2.3140E-009
1544.380000,1.1170E-009
1544.440000,2.6670E-009
1544.500000,2.9490E-009
1544.560000,2.1490E-009
1544.620000,3.5820E-009
1544.680000,2.0140E-009
1544.740000,1.6990E-009
1544.800000,2.9580E-009
1544.860000,2.6300E-009
1544.920000,1.1060E-009
1544.980000,1.6810E-009
1545.040000,1.5240E-010
1545.100000,1.5040E-009
1545.160000,3.0930E-009
1545.220000,1.4680E-009
1545.280000,7.7020E-010
1545.340000,2.2960E-009
1545.400000,2.6590E-009
1545.460000,1.4600E-009
1545.520000,1.6940E-009
1545.580000,3.3680E-009
1545.640000,7.6520E-010
1545.700000,1.9040E-009
1545.760000,1.7800E-009
1545.820000,3.1680E-009
1545.880000,1.6450E-009
1545.940000,3.1360E-009
1546.000000,2.5230E-009
1546.060000,2.0030E-009
1546.120000,1.6020E-009
1546.180000,5.1220E-010
1546.240000,2.6250E-009
1546.300000,2.1160E-009
1546.360000,1.2160E-009
1546.420000,1.8950E-009
1546.480000,3.3000E-009
1546.540000,2.9580E-009
1546.600000,2.8040E-009
1546.660000,3.5460E-009
1546.720000,1.7350E-009
1546.780000,2.7790E-009
1546.840000,2.9100E-009
1546.900000,3.0260E-009
1546.960000,3.5170E-009
1547.020000,3.4470E-009
1547.080000,3.9220E-009
1547.140000,4.7030E-009
1547.200000,2.6680E-009
1547.260000,4.9770E-009
1547.320000,4.2420E-009
1547.380000,3.6770E-009
1547.440000,6.5940E-009
1547.500000,6.9000E-009
1547.560000,5.5560E-009
1547.620000,5.0510E-009
1547.680000,5.8430E-009
1547.740000,6.7830E-009
1547.800000,3.3740E-009
1547.860000,6.4920E-009
1547.920000,5.4220E-009
1547.980000,4.3770E-009
1548.040000,4.3150E-009
1548.100000,3.2390E-009
1548.160000,2.2710E-009
1548.220000,2.7790E-009
1548.280000,2.5120E-009
1548.340000,2.8970E-009
1548.400000,2.9610E-009
1548.460000,2.1030E-009
1548.520000,3.9470E-009
1548.580000,5.1330E-009
1548.640000,7.4420E-009
1548.700000,8.9800E-009
1548.760000,9.7420E-009
1548.820000,1.1840E-008
1548.880000,1.2300E-008
1548.940000,1.3300E-008
1549.000000,1.6970E-008
1549.060000,1.8680E-008
1549.120000,2.5080E-008
1549.180000,3.3000E-008
1549.240000,4.0260E-008
1549.300000,4.8360E-008
1549.360000,5.2680E-008
1549.420000,5.9030E-008
1549.480000,5.8440E-008
1549.540000,5.5380E-008
1549.600000,4.9650E-008
1549.660000,4.4350E-008
1549.720000,3.4650E-008
1549.780000,3.0520E-008
1549.840000,2.7110E-008
1549.900000,2.5180E-008
1549.960000,2.6600E-008
1550.020000,3.2720E-008
1550.080000,3.8630E-008
1550.140000,4.4300E-008
1550.200000,4.9660E-008
1550.260000,5.8800E-008
1550.320000,6.2800E-008
1550.380000,6.1640E-008
1550.440000,6.8490E-008
1550.500000,6.4800E-008
1550.560000,5.7940E-008
1550.620000,5.0910E-008
1550.680000,4.3610E-008
1550.740000,3.2380E-008
1550.800000,2.8690E-008
1550.860000,1.9380E-008
1550.920000,1.2640E-008
1550.980000,1.2770E-008
1551.040000,1.4260E-008
1551.100000,1.5780E-008
1551.160000,1.9420E-008
1551.220000,3.0630E-008
1551.280000,4.3140E-008
1551.340000,5.5950E-008
1551.400000,8.0370E-008
1551.460000,1.0400E-007
1551.520000,1.2660E-007
1551.580000,1.5110E-007
1551.640000,1.6160E-007
1551.700000,1.5700E-007
1551.760000,1.4890E-007
1551.820000,1.3520E-007
1551.880000,1.1600E-007
1551.940000,1.0840E-007
1552.000000,1.1450E-007
1552.060000,1.3260E-007
1552.120000,1.8210E-007
1552.180000,2.6450E-007
1552.240000,3.5470E-007
1552.300000,4.3860E-007
1552.360000,5.1670E-007
1552.420000,5.7550E-007
1552.480000,5.9420E-007
1552.540000,5.8010E-007
1552.600000,5.4120E-007
1552.660000,4.6590E-007
1552.720000,3.7500E-007
1552.780000,2.9050E-007
1552.840000,2.1700E-007
1552.900000,1.6850E-007
1552.960000,1.6650E-007
1553.020000,2.1490E-007
1553.080000,3.1740E-007
1553.140000,4.6310E-007
1553.200000,6.6260E-007
1553.260000,8.8280E-007
1553.320000,1.1150E-006
1553.380000,1.3620E-006
1553.440000,1.5840E-006
1553.500000,1.7780E-006
1553.560000,1.9410E-006
1553.620000,2.0450E-006
1553.680000,2.0970E-006
1553.740000,2.0900E-006
1553.800000,2.0450E-006
1553.860000,1.9420E-006
1553.920000,1.8010E-006
1553.980000,1.6340E-006
1554.040000,1.4400E-006
1554.100000,1.2580E-006
1554.160000,1.0540E-006
1554.220000,8.5830E-007
1554.280000,6.7270E-007
1554.340000,5.1250E-007
1554.400000,3.7450E-007
1554.460000,2.6300E-007
1554.520000,1.8170E-007
1554.580000,1.3490E-007
1554.640000,1.0510E-007
1554.700000,1.0200E-007
1554.760000,1.2050E-007
1554.820000,1.5160E-007
1554.880000,1.9860E-007
1554.940000,2.2490E-007
1555.000000,2.4750E-007
1555.060000,2.5920E-007
1555.120000,2.4560E-007
1555.180000,2.2870E-007
1555.240000,2.0670E-007
1555.300000,1.7000E-007
1555.360000,1.3830E-007
1555.420000,1.1000E-007
1555.480000,8.1660E-008
1555.540000,6.3220E-008
1555.600000,4.7550E-008
1555.660000,4.0790E-008
1555.720000,3.6990E-008
1555.780000,3.8940E-008
1555.840000,4.2310E-008
1555.900000,4.8130E-008
1555.960000,5.6640E-008
1556.020000,5.9200E-008
1556.080000,6.2360E-008
1556.140000,6.0650E-008
1556.200000,5.9100E-008
1556.260000,5.3940E-008
1556.320000,4.7410E-008
1556.380000,4.2460E-008
1556.440000,3.6140E-008
1556.500000,2.8780E-008
1556.560000,2.1230E-008
1556.620000,1.6770E-008
1556.680000,1.3910E-008
1556.740000,1.0050E-008
1556.800000,9.7930E-009
1556.860000,9.3710E-009
1556.920000,9.6490E-009
1556.980000,1.0180E-008
1557.040000,1.2290E-008
1557.100000,1.2800E-008
1557.160000,1.3920E-008
1557.220000,1.4730E-008
1557.280000,1.7680E-008
1557.340000,1.6350E-008
1557.400000,1.5510E-008
1557.460000,1.5300E-008
1557.520000,1.3740E-008
1557.580000,1.2320E-008
1557.640000,1.1000E-008
1557.700000,8.3110E-009
1557.760000,8.0200E-009
1557.820000,8.3690E-009
1557.880000,7.9460E-009
1557.940000,6.6690E-009
1558.000000,6.7960E-009
1558.060000,7.0550E-009
1558.120000,7.9460E-009
1558.180000,6.1840E-009
1558.240000,8.0380E-009
1558.300000,8.5250E-009
1558.360000,8.9930E-009
1558.420000,7.3860E-009
1558.480000,8.3730E-009
1558.540000,8.2400E-009
1558.600000,9.0920E-009
1558.660000,9.2130E-009
1558.720000,8.1570E-009
1558.780000,6.7650E-009
1558.840000,8.0100E-009
1558.900000,7.8630E-009
1558.960000,7.8400E-009
1559.020000,6.6710E-009
1559.080000,7.7390E-009
1559.140000,8.0440E-009
1559.200000,7.0680E-009
1559.260000,8.1950E-009
1559.320000,8.9080E-009
1559.380000,9.1300E-009
1559.440000,8.0330E-009
1559.500000,8.1130E-009
1559.560000,7.3390E-009
1559.620000,7.5290E-009
1559.680000,8.0450E-009
1559.740000,7.0880E-009
1559.800000,8.1730E-009
1559.860000,8.2390E-009
1559.920000,7.2300E-009
1559.980000,7.6030E-009
1560.040000,6.1300E-009
1560.100000,7.2710E-009
1560.160000,7.9760E-009
1560.220000,7.7050E-009
1560.280000,8.1940E-009
1560.340000,8.4210E-009
1560.400000,8.2700E-009
1560.460000,7.2870E-009
1560.520000,7.5250E-009
1560.580000,8.9190E-009
1560.640000,6.7910E-009
1560.700000,1.0480E-008
1560.760000,8.4670E-009
1560.820000,8.0180E-009
1560.880000,7.8000E-009
1560.940000,9.4690E-009
1561.000000,9.2150E-009
1561.060000,7.0920E-009
1561.120000,6.7100E-009
1561.180000,8.0760E-009
1561.240000,7.9130E-009
1561.300000,6.5290E-009
1561.360000,6.8480E-009
1561.420000,7.7480E-009
1561.480000,8.3760E-009
1561.540000,8.0360E-009
1561.600000,7.5650E-009
1561.660000,8.3020E-009
1561.720000,7.4260E-009
1561.780000,7.3220E-009
1561.840000,8.4450E-009
1561.900000,7.2220E-009
1561.960000,8.3150E-009
1562.020000,9.3990E-009
1562.080000,8.3710E-009
1562.140000,7.1830E-009
1562.200000,7.8030E-009
1562.260000,7.4950E-009
1562.320000,7.9490E-009
1562.380000,7.4780E-009
1562.440000,9.1510E-009
1562.500000,7.4640E-009
1562.560000,8.0300E-009
1562.620000,8.8760E-009
1562.680000,7.1390E-009
1562.740000,8.1920E-009
1562.800000,8.4280E-009
1562.860000,8.2850E-009
1562.920000,7.6000E-009
1562.980000,7.1820E-009
1563.040000,8.5710E-009
1563.100000,7.9100E-009
1563.160000,7.9240E-009
1563.220000,7.8670E-009
1563.280000,1.0830E-008
1563.340000,9.2570E-009
1563.400000,9.9820E-009
1563.460000,9.1400E-009
1563.520000,8.2690E-009
1563.580000,8.2340E-009
1563.640000,8.6040E-009
1563.700000,8.1740E-009
1563.760000,9.5460E-009
1563.820000,7.5440E-009
1563.880000,8.6450E-009
1563.940000,7.7410E-009
1564.000000,9.5140E-009
1564.060000,7.8210E-009
1564.120000,1.0530E-008
1564.180000,9.2270E-009
1564.240000,8.7410E-009
1564.300000,9.6730E-009
1564.360000,1.0050E-008
1564.420000,8.8780E-009
1564.480000,1.0060E-008
1564.540000,1.0400E-008
1564.600000,1.0140E-008
1564.660000,1.0340E-008
1564.720000,9.6550E-009
1564.780000,9.9640E-009
1564.840000,1.0930E-008
1564.900000,9.5000E-009
1564.960000,9.3320E-009
1565.020000,9.8210E-009
1565.080000,9.4290E-009
1565.140000,9.8340E-009
1565.200000,1.1570E-008
1565.260000,9.8940E-009
1565.320000,8.7270E-009
1565.380000,8.7380E-009
1565.440000,8.2970E-009
1565.500000,7.7650E-009
1565.560000,9.8910E-009
1565.620000,8.2810E-009
1565.680000,9.9030E-009
1565.740000,7.6070E-009
1565.800000,8.1880E-009
1565.860000,8.9630E-009
1565.920000,9.4220E-009
1565.980000,9.3520E-009
1566.040000,1.1350E-008
1566.100000,8.6360E-009
1566.160000,1.0340E-008
1566.220000,1.0690E-008
1566.280000,9.4770E-009
1566.340000,1.0840E-008
1566.400000,1.0250E-008
1566.460000,1.0530E-008
1566.520000,1.0510E-008
1566.580000,1.0160E-008
1566.640000,1.0520E-008
1566.700000,1.0430E-008
1566.760000,1.0020E-008
1566.820000,1.0800E-008
1566.880000,9.5800E-009
1566.940000,1.0600E-008
1567.000000,1.1730E-008
1567.060000,1.0800E-008
1567.120000,1.0160E-008
1567.180000,1.1790E-008
1567.240000,1.2760E-008
1567.300000,1.1190E-008
1567.360000,1.1070E-008
1567.420000,1.1530E-008
1567.480000,1.0650E-008
1567.540000,1.2980E-008
1567.600000,1.2250E-008
1567.660000,1.0540E-008
1567.720000,1.0530E-008
1567.780000,1.1410E-008
1567.840000,1.1420E-008
1567.900000,1.2630E-008
1567.960000,1.0650E-008
1568.020000,1.0930E-008
1568.080000,1.3850E-008
1568.140000,1.2870E-008
1568.200000,1.3250E-008
1568.260000,1.1370E-008
1568.320000,1.2040E-008
1568.380000,1.0880E-008
1568.440000,1.1360E-008
1568.500000,1.2540E-008
1568.560000,1.2240E-008
1568.620000,1.0780E-008
1568.680000,1.2510E-008
1568.740000,1.0650E-008
1568.800000,1.1800E-008
1568.860000,1.1050E-008
1568.920000,1.0740E-008
1568.980000,1.1080E-008
1569.040000,1.1340E-008
1569.100000,1.2540E-008
1569.160000,1.1790E-008
1569.220000,1.1550E-008
1569.280000,1.0830E-008
1569.340000,1.0050E-008
1569.400000,1.1570E-008
1569.460000,1.1580E-008
1569.520000,1.0950E-008
1569.580000,1.2590E-008
1569.640000,1.1380E-008
1569.700000,1.1320E-008
1569.760000,1.1920E-008
1569.820000,1.2200E-008
1569.880000,1.1430E-008
1569.940000,1.1210E-008
1570.000000,1.2160E-008
