File,BRONO-FBG-9-45_SpanReduzido.csv,
Date/Time,21-12-14/07:00,

Center Wavelength,1555,nm
Span Wavelength,30,nm
Start Wavelength,1540,nm
Stop Wavelength,1570,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.467,nm
VBW,100,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,C
Start,1540,nm
Stop,1570,nm
1540.000000,1.6220E-009
1540.060000,2.1130E-009
1540.120000,1.2110E-009
1540.180000,3.3540E-009
1540.240000,1.3060E-009
1540.300000,1.9970E-009
1540.360000,1.4800E-009
1540.420000,1.1450E-009
1540.480000,9.1050E-010
1540.540000,9.9730E-010
1540.600000,1.2610E-009
1540.660000,2.2270E-009
1540.720000,1.6570E-009
1540.780000,8.5250E-010
1540.840000,3.6030E-010
1540.900000,1.5190E-009
1540.960000,2.3180E-009
1541.020000,2.0860E-009
1541.080000,1.8270E-009
1541.140000,3.2610E-009
1541.200000,1.3880E-009
1541.260000,1.9380E-009
1541.320000,1.1430E-009
1541.380000,1.6580E-009
1541.440000,4.1570E-010
1541.500000,8.7990E-010
1541.560000,1.1290E-009
1541.620000,2.0550E-009
1541.680000,1.0790E-009
1541.740000,1.3470E-009
1541.800000,2.2490E-009
1541.860000,-4.2230E-010
1541.920000,1.7770E-009
1541.980000,1.0950E-009
1542.040000,1.0540E-009
1542.100000,1.9670E-009
1542.160000,2.0430E-009
1542.220000,2.2050E-009
1542.280000,4.0640E-010
1542.340000,1.9460E-009
1542.400000,1.4730E-009
1542.460000,1.9350E-009
1542.520000,1.1640E-009
1542.580000,8.6880E-010
1542.640000,9.8830E-010
1542.700000,1.7480E-009
1542.760000,1.9290E-009
1542.820000,2.4300E-009
1542.880000,8.7780E-010
1542.940000,1.4140E-009
1543.000000,7.4330E-010
1543.060000,1.6620E-009
1543.120000,1.9080E-009
1543.180000,2.3680E-009
1543.240000,2.1780E-009
1543.300000,2.6650E-009
1543.360000,2.5600E-009
1543.420000,1.1390E-009
1543.480000,1.9400E-009
1543.540000,2.3420E-009
1543.600000,1.4280E-009
1543.660000,7.8550E-010
1543.720000,1.9960E-009
1543.780000,2.6760E-009
1543.840000,1.2740E-009
1543.900000,2.6210E-009
1543.960000,1.9260E-009
1544.020000,2.1250E-009
1544.080000,1.6740E-009
1544.140000,5.2150E-010
1544.200000,1.5710E-009
1544.260000,1.7860E-009
1544.320000,3.1990E-009
1544.380000,3.3940E-009
1544.440000,2.9090E-009
1544.500000,2.4380E-009
1544.560000,1.3270E-009
1544.620000,2.3990E-009
1544.680000,2.2890E-009
1544.740000,3.5050E-009
1544.800000,3.2490E-009
1544.860000,4.0600E-009
1544.920000,3.4820E-009
1544.980000,3.8410E-009
1545.040000,2.6770E-009
1545.100000,3.6230E-009
1545.160000,4.7700E-009
1545.220000,4.0950E-009
1545.280000,3.4430E-009
1545.340000,3.6190E-009
1545.400000,3.0950E-009
1545.460000,4.2850E-009
1545.520000,4.0150E-009
1545.580000,3.1180E-009
1545.640000,3.1200E-009
1545.700000,2.4820E-009
1545.760000,3.0550E-009
1545.820000,9.0100E-010
1545.880000,3.0320E-009
1545.940000,3.0320E-009
1546.000000,1.7130E-009
1546.060000,2.9510E-009
1546.120000,4.3640E-009
1546.180000,4.4440E-009
1546.240000,6.2770E-009
1546.300000,8.0720E-009
1546.360000,9.7620E-009
1546.420000,8.3780E-009
1546.480000,1.0020E-008
1546.540000,1.0100E-008
1546.600000,1.1910E-008
1546.660000,1.4030E-008
1546.720000,1.8720E-008
1546.780000,2.2500E-008
1546.840000,3.0170E-008
1546.900000,3.6700E-008
1546.960000,4.0990E-008
1547.020000,4.4210E-008
1547.080000,4.7380E-008
1547.140000,4.4630E-008
1547.200000,3.9640E-008
1547.260000,3.4580E-008
1547.320000,3.0070E-008
1547.380000,2.4890E-008
1547.440000,2.3060E-008
1547.500000,2.3350E-008
1547.560000,2.1020E-008
1547.620000,2.4400E-008
1547.680000,2.8670E-008
1547.740000,3.3930E-008
1547.800000,3.9100E-008
1547.860000,4.9090E-008
1547.920000,4.7470E-008
1547.980000,5.1080E-008
1548.040000,5.3080E-008
1548.100000,5.0820E-008
1548.160000,4.6960E-008
1548.220000,4.2950E-008
1548.280000,3.4480E-008
1548.340000,3.0290E-008
1548.400000,2.3220E-008
1548.460000,1.7800E-008
1548.520000,1.3230E-008
1548.580000,1.0650E-008
1548.640000,9.7860E-009
1548.700000,1.3180E-008
1548.760000,1.4170E-008
1548.820000,2.3660E-008
1548.880000,3.1260E-008
1548.940000,4.1550E-008
1549.000000,6.2230E-008
1549.060000,8.4280E-008
1549.120000,1.0350E-007
1549.180000,1.1990E-007
1549.240000,1.3130E-007
1549.300000,1.2510E-007
1549.360000,1.2410E-007
1549.420000,1.1070E-007
1549.480000,9.5310E-008
1549.540000,8.7320E-008
1549.600000,8.7460E-008
1549.660000,1.0350E-007
1549.720000,1.3770E-007
1549.780000,2.0920E-007
1549.840000,2.7450E-007
1549.900000,3.4290E-007
1549.960000,4.0460E-007
1550.020000,4.5530E-007
1550.080000,4.7360E-007
1550.140000,4.7240E-007
1550.200000,4.4410E-007
1550.260000,3.8320E-007
1550.320000,3.1860E-007
1550.380000,2.4890E-007
1550.440000,1.8490E-007
1550.500000,1.4290E-007
1550.560000,1.3440E-007
1550.620000,1.6250E-007
1550.680000,2.2930E-007
1550.740000,3.3790E-007
1550.800000,4.8220E-007
1550.860000,6.5430E-007
1550.920000,8.4350E-007
1550.980000,1.0330E-006
1551.040000,1.2170E-006
1551.100000,1.3780E-006
1551.160000,1.5120E-006
1551.220000,1.6060E-006
1551.280000,1.6600E-006
1551.340000,1.6770E-006
1551.400000,1.6470E-006
1551.460000,1.5770E-006
1551.520000,1.4750E-006
1551.580000,1.3420E-006
1551.640000,1.2030E-006
1551.700000,1.0430E-006
1551.760000,8.8850E-007
1551.820000,7.2920E-007
1551.880000,5.7900E-007
1551.940000,4.4790E-007
1552.000000,3.2100E-007
1552.060000,2.3230E-007
1552.120000,1.5750E-007
1552.180000,1.1730E-007
1552.240000,8.9740E-008
1552.300000,8.4330E-008
1552.360000,9.6340E-008
1552.420000,1.2340E-007
1552.480000,1.5080E-007
1552.540000,1.7820E-007
1552.600000,1.9980E-007
1552.660000,2.0790E-007
1552.720000,2.0360E-007
1552.780000,1.8600E-007
1552.840000,1.7030E-007
1552.900000,1.4100E-007
1552.960000,1.1700E-007
1553.020000,9.1790E-008
1553.080000,6.7190E-008
1553.140000,5.0870E-008
1553.200000,4.0560E-008
1553.260000,3.4470E-008
1553.320000,3.2890E-008
1553.380000,3.2750E-008
1553.440000,3.7570E-008
1553.500000,4.1220E-008
1553.560000,4.6580E-008
1553.620000,5.2120E-008
1553.680000,5.2210E-008
1553.740000,5.2390E-008
1553.800000,5.0920E-008
1553.860000,4.6450E-008
1553.920000,4.1220E-008
1553.980000,3.6780E-008
1554.040000,2.9200E-008
1554.100000,2.1510E-008
1554.160000,1.9250E-008
1554.220000,1.5410E-008
1554.280000,1.1190E-008
1554.340000,8.6070E-009
1554.400000,8.1590E-009
1554.460000,6.5750E-009
1554.520000,8.2440E-009
1554.580000,8.2490E-009
1554.640000,9.7430E-009
1554.700000,1.1060E-008
1554.760000,1.2760E-008
1554.820000,1.4040E-008
1554.880000,1.2580E-008
1554.940000,1.4680E-008
1555.000000,1.2240E-008
1555.060000,1.3380E-008
1555.120000,1.1270E-008
1555.180000,1.1560E-008
1555.240000,9.0080E-009
1555.300000,7.8620E-009
1555.360000,6.3280E-009
1555.420000,5.8100E-009
1555.480000,6.4190E-009
1555.540000,5.3290E-009
1555.600000,5.8790E-009
1555.660000,5.8740E-009
1555.720000,4.4670E-009
1555.780000,5.0360E-009
1555.840000,4.9170E-009
1555.900000,7.2190E-009
1555.960000,4.9880E-009
1556.020000,6.3620E-009
1556.080000,7.8170E-009
1556.140000,6.6970E-009
1556.200000,6.3390E-009
1556.260000,6.1110E-009
1556.320000,5.4620E-009
1556.380000,7.4610E-009
1556.440000,6.9130E-009
1556.500000,5.6670E-009
1556.560000,5.9860E-009
1556.620000,6.8200E-009
1556.680000,6.1500E-009
1556.740000,7.0660E-009
1556.800000,7.2150E-009
1556.860000,6.5310E-009
1556.920000,7.0960E-009
1556.980000,7.1530E-009
1557.040000,5.6820E-009
1557.100000,8.1800E-009
1557.160000,7.0200E-009
1557.220000,7.3510E-009
1557.280000,7.0850E-009
1557.340000,6.2510E-009
1557.400000,6.9900E-009
1557.460000,6.6910E-009
1557.520000,5.0410E-009
1557.580000,5.5220E-009
1557.640000,5.1230E-009
1557.700000,6.2510E-009
1557.760000,6.6960E-009
1557.820000,7.0620E-009
1557.880000,6.6840E-009
1557.940000,6.2420E-009
1558.000000,7.7360E-009
1558.060000,6.9480E-009
1558.120000,7.8210E-009
1558.180000,7.7250E-009
1558.240000,8.6360E-009
1558.300000,8.4700E-009
1558.360000,8.2270E-009
1558.420000,9.3370E-009
1558.480000,8.0920E-009
1558.540000,8.9720E-009
1558.600000,7.8360E-009
1558.660000,7.5000E-009
1558.720000,7.7120E-009
1558.780000,6.4230E-009
1558.840000,6.9420E-009
1558.900000,6.6790E-009
1558.960000,7.2830E-009
1559.020000,7.5490E-009
1559.080000,6.3110E-009
1559.140000,6.8580E-009
1559.200000,7.0600E-009
1559.260000,7.9840E-009
1559.320000,7.4500E-009
1559.380000,6.8350E-009
1559.440000,7.4710E-009
1559.500000,7.7340E-009
1559.560000,8.1710E-009
1559.620000,6.1460E-009
1559.680000,7.3330E-009
1559.740000,7.8050E-009
1559.800000,7.0600E-009
1559.860000,7.5960E-009
1559.920000,6.1630E-009
1559.980000,7.3580E-009
1560.040000,7.0890E-009
1560.100000,7.6360E-009
1560.160000,6.1630E-009
1560.220000,6.4500E-009
1560.280000,6.6330E-009
1560.340000,6.5920E-009
1560.400000,6.8560E-009
1560.460000,7.9870E-009
1560.520000,7.6240E-009
1560.580000,8.0590E-009
1560.640000,7.8220E-009
1560.700000,8.2250E-009
1560.760000,7.4560E-009
1560.820000,5.8970E-009
1560.880000,6.3800E-009
1560.940000,5.8200E-009
1561.000000,6.3400E-009
1561.060000,8.3880E-009
1561.120000,6.9980E-009
1561.180000,6.8880E-009
1561.240000,6.6890E-009
1561.300000,6.7260E-009
1561.360000,7.2000E-009
1561.420000,7.2510E-009
1561.480000,6.5720E-009
1561.540000,8.2500E-009
1561.600000,7.2160E-009
1561.660000,7.5130E-009
1561.720000,7.2000E-009
1561.780000,7.7330E-009
1561.840000,8.3890E-009
1561.900000,7.9120E-009
1561.960000,9.0730E-009
1562.020000,7.0550E-009
1562.080000,7.3920E-009
1562.140000,8.6950E-009
1562.200000,7.8810E-009
1562.260000,8.3400E-009
1562.320000,8.6430E-009
1562.380000,8.8370E-009
1562.440000,7.6420E-009
1562.500000,7.9330E-009
1562.560000,8.8610E-009
1562.620000,9.5110E-009
1562.680000,8.0350E-009
1562.740000,9.2650E-009
1562.800000,7.8590E-009
1562.860000,8.6950E-009
1562.920000,8.4000E-009
1562.980000,9.3510E-009
1563.040000,7.6150E-009
1563.100000,8.7560E-009
1563.160000,6.9660E-009
1563.220000,9.0180E-009
1563.280000,7.6150E-009
1563.340000,8.7770E-009
1563.400000,8.5440E-009
1563.460000,8.8880E-009
1563.520000,9.2010E-009
1563.580000,8.9220E-009
1563.640000,8.6580E-009
1563.700000,9.4020E-009
1563.760000,8.9390E-009
1563.820000,7.3890E-009
1563.880000,8.7040E-009
1563.940000,8.4880E-009
1564.000000,7.9540E-009
1564.060000,9.1260E-009
1564.120000,9.0600E-009
1564.180000,8.1160E-009
1564.240000,8.8860E-009
1564.300000,9.3470E-009
1564.360000,9.3080E-009
1564.420000,1.0050E-008
1564.480000,9.1960E-009
1564.540000,7.2180E-009
1564.600000,9.4170E-009
1564.660000,8.7840E-009
1564.720000,9.7570E-009
1564.780000,1.0270E-008
1564.840000,9.6380E-009
1564.900000,1.0070E-008
1564.960000,9.3320E-009
1565.020000,9.3520E-009
1565.080000,1.0250E-008
1565.140000,8.2540E-009
1565.200000,7.9850E-009
1565.260000,9.5870E-009
1565.320000,8.8780E-009
1565.380000,1.0080E-008
1565.440000,8.7520E-009
1565.500000,1.0190E-008
1565.560000,9.8480E-009
1565.620000,1.0320E-008
1565.680000,9.4240E-009
1565.740000,9.0990E-009
1565.800000,9.2020E-009
1565.860000,9.9410E-009
1565.920000,9.5870E-009
1565.980000,9.8680E-009
1566.040000,9.6650E-009
1566.100000,9.4630E-009
1566.160000,9.9500E-009
1566.220000,9.6850E-009
1566.280000,9.6890E-009
1566.340000,9.2930E-009
1566.400000,1.0280E-008
1566.460000,9.9300E-009
1566.520000,9.2770E-009
1566.580000,9.6530E-009
1566.640000,1.0210E-008
1566.700000,9.5550E-009
1566.760000,9.0350E-009
1566.820000,1.0760E-008
1566.880000,1.0240E-008
1566.940000,1.2100E-008
1567.000000,1.1270E-008
1567.060000,1.0830E-008
1567.120000,1.0310E-008
1567.180000,1.0830E-008
1567.240000,1.0380E-008
1567.300000,1.0650E-008
1567.360000,1.1690E-008
1567.420000,1.0800E-008
1567.480000,1.1420E-008
1567.540000,1.1090E-008
1567.600000,1.1950E-008
1567.660000,1.2030E-008
1567.720000,1.1690E-008
1567.780000,1.1260E-008
1567.840000,1.2310E-008
1567.900000,1.2370E-008
1567.960000,1.1960E-008
1568.020000,1.2210E-008
1568.080000,1.2470E-008
1568.140000,1.1420E-008
1568.200000,1.1690E-008
1568.260000,1.2910E-008
1568.320000,1.2960E-008
1568.380000,1.2120E-008
1568.440000,1.1920E-008
1568.500000,1.0590E-008
1568.560000,1.1810E-008
1568.620000,1.1600E-008
1568.680000,1.0670E-008
1568.740000,1.2640E-008
1568.800000,1.1750E-008
1568.860000,1.0410E-008
1568.920000,1.0720E-008
1568.980000,1.1140E-008
1569.040000,1.1050E-008
1569.100000,1.0840E-008
1569.160000,1.1190E-008
1569.220000,1.0930E-008
1569.280000,8.8630E-009
1569.340000,1.2240E-008
1569.400000,9.6620E-009
1569.460000,1.2110E-008
1569.520000,1.2390E-008
1569.580000,1.1610E-008
1569.640000,1.3710E-008
1569.700000,1.1800E-008
1569.760000,1.2460E-008
1569.820000,1.1580E-008
1569.880000,1.0880E-008
1569.940000,1.0410E-008
1570.000000,1.1660E-008
